EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,accX,accY,accZ,oriX,oriY,oriZ,oriW,gyrX,gyrY,gyrZ,Class,Subject
1,3,-11,0,0,-1,-4,-1,0.146972656,-0.5546875,0.829101563,-0.230163574,0.218139648,-0.770446777,0.553039551,0.1875,-7.625,4.75,2,1
-2,-2,-7,-1,-2,-3,-5,-1,0.15234375,-0.541015625,0.827148438,-0.230651855,0.216796875,-0.770141602,0.553833008,1,-5.9375,4.0625,2,1
-6,-3,2,3,-2,-2,-3,-1,0.151367188,-0.546875,0.834472656,-0.231201172,0.215698242,-0.769836426,0.554382324,-0.25,-5.375,3.0625,2,1
-3,-5,-5,-2,-1,-3,-2,-1,0.145507813,-0.5390625,0.836425781,-0.231750488,0.21472168,-0.76965332,0.554870605,-1.4375,-5.1875,2.3125,2,1
-3,0,9,-4,-3,-1,-3,1,0.129882813,-0.540527344,0.832519531,-0.23236084,0.214172363,-0.769348145,0.555236816,-3.25,-4.875,1.875,2,1
-4,-6,-1,-2,1,-3,-5,-2,0.1328125,-0.560058594,0.821289063,-0.233093262,0.213623047,-0.769165039,0.555419922,-2.6875,-5,0.4375,2,1
-3,-2,-4,-8,-5,-2,-3,-3,0.149414063,-0.562011719,0.8203125,-0.233764648,0.212463379,-0.769165039,0.555480957,0.875,-5.25,-0.875,2,1
-2,-2,-1,0,-1,-2,-2,-2,0.151855469,-0.543457031,0.813476563,-0.234313965,0.211303711,-0.769226074,0.555603027,0.5625,-4.8125,-0.375,2,1
-3,-4,-13,-5,-4,-3,-3,2,0.147949219,-0.54296875,0.83203125,-0.234802246,0.210571289,-0.769226074,0.555664063,-2.0625,-3.875,-0.0625,2,1
-3,-2,-8,-8,-2,-1,-5,-2,0.154296875,-0.558105469,0.842285156,-0.235534668,0.210083008,-0.769165039,0.555725098,-3.25,-3.75,0.125,2,1
-2,-2,4,-3,-1,-2,-3,-1,0.140136719,-0.559082031,0.833007813,-0.235839844,0.209533691,-0.769165039,0.555786133,-1.3125,-3,-0.375,2,1
-3,-2,-10,-6,-3,-3,-2,-1,0.135253906,-0.553710938,0.829101563,-0.235839844,0.20880127,-0.769348145,0.555725098,0.3125,-2,-1.125,2,1
-1,-1,-1,-1,2,1,-2,-4,0.137695313,-0.5625,0.828125,-0.235900879,0.208190918,-0.769592285,0.555725098,0.625,-1.875,-1.375,2,1
-4,-4,19,2,-2,-2,-3,-1,0.146972656,-0.549316406,0.808105469,-0.23614502,0.207397461,-0.769592285,0.555847168,0.625,-2.9375,0.125,2,1
-2,-3,-6,-1,-3,-2,-2,-3,0.14453125,-0.546875,0.812011719,-0.236572266,0.20715332,-0.76953125,0.555847168,-2.6875,-2.125,-0.0625,2,1
